HLAGene	HLA_A1	HLA_A2	HLA_A1_CN	HLA_A1_CN_Lower	HLA_A1_CN_Upper	HLA_A2_CN	HLA_A2_CN_Lower	HLA_A2_CN_Upper	HLA_A1_Median_LogR	HLA_A2_Median_LogR	HLA_A1_MM_Median_LogR	HLA_A2_MM_Median_LogR	MM_LogR_Paired_Pvalue	Median_BAF	Num_MM	Num_Bins	Num_MM_Bins	Pct_A1_Loss_Supporting_Bins	Pct_A2_Loss_Supporting_Bins	Pct_CN_Diff_Supporting_Bins
hla_a	hla_a_11_02_01	hla_a_30_01_01	1.0247	0.917	1.0618	0.0891	0.0825	0.1033	-0.175435224083922	-4.0664579587143	-0.151799290002243	-4.20140808240308	2.74824209345362e-49	0.917273148738002	51	23	15	8.6957	100	86.9565
hla_b	hla_b_35_01_01_01	hla_b_46_01_01	0.8324	0.7875	1.0609	1.0358	0.9471	1.0942	-0.388723261319318	-0.299595931646372	-0.35254436214498	-0.300867086185046	0.439413834891396	0.483125433125433	63	22	17	4.5455	0	18.1818
hla_c	hla_c_02_02_01	hla_c_12_02_01	2.6794	2.5625	2.8688	1.0038	0.9487	1.1053	1.20845714637104	-0.335178492061186	1.21463995029095	-0.272397769074982	4.98199451505613e-22	0.731173915995724	27	22	16	0	0	100
