HLAGene	HLA_A1	HLA_A2	HLA_A1_CN	HLA_A1_CN_Lower	HLA_A1_CN_Upper	HLA_A2_CN	HLA_A2_CN_Lower	HLA_A2_CN_Upper	HLA_A1_Median_LogR	HLA_A2_Median_LogR	HLA_A1_MM_Median_LogR	HLA_A2_MM_Median_LogR	MM_LogR_Paired_Pvalue	Median_BAF	Num_MM	Num_Bins	Num_MM_Bins	Pct_A1_Loss_Supporting_Bins	Pct_A2_Loss_Supporting_Bins	Pct_CN_Diff_Supporting_Bins
hla_a	hla_a_11_02_01	hla_a_30_01_01	0.9386	0.8828	0.9885	0.9781	0.8135	1.1056	0.248302603199663	0.16936585445479	0.271761179763784	0.157358989098364	3.98661542988261e-05	0.48714426099226	51	23	15	0	4.3478	13.0435
hla_b	hla_b_35_01_01_01	hla_b_46_01_01	1.7835	1.6384	1.8728	1.0075	0.9444	1.0677	1.1389084258008	0.192952674772406	1.15900848594347	0.188753038245188	1.16691239301144e-35	0.629654673200185	63	22	17	0	0	95.4545
hla_c	hla_c_02_02_01	hla_c_12_02_01	0.0391	0.0353	0.0514	0.0296	0.0261	0.0384	-4.36928974944867	-4.90658299877851	-4.32563343398473	-4.85864836915233	1.93153897879725e-06	0.573163111318578	27	22	16	100	100	0
